sequence,sequence_as_text,freq,dl_model,dl_data,dl_total
[2 4 2],[e f e],743,22140.669572573486,2.0990748347749073e+07,2.1012889017321646e+07
[2 4 4],[e f f],1071,22287.96955487691,2.098657788627483e+07,2.100886585582971e+07
[2 4 7],[e f o],1334,22075.157306177367,2.0986082484422326e+07,2.10081576417285e+07
[2 6 0],[e l t],668,22311.43585274955,2.099130253263505e+07,2.1013613968487803e+07
[2 6 2],[e l e],2217,22725.93417883415,2.0990830109838706e+07,2.101355604401754e+07
[2 6 3],[e l  ],1896,22991.2005548857,2.0995395815740626e+07,2.101838701629551e+07
[2 6 4],[e l f],1586,22062.050537107716,2.098180158824926e+07,2.1003863638786368e+07
[2 6 6],[e l l],3679,22616.71315804833,2.0986848816336025e+07,2.1009465529494073e+07
[2 6 7],[e l o],1253,22481.38157580424,2.0988307131867368e+07,2.1010788513443172e+07
[2 6 10],[e l y],2414,22327.72921929902,2.099186129177519e+07,2.101418902099449e+07
[2 6 13],[e l a],1083,22626.669076707898,2.0992583378530633e+07,2.101521004760734e+07
[2 6 14],[e l d],982,22202.15142665537,2.0992092284890693e+07,2.1014294436317347e+07
[2 6 16],[e l s],798,22494.09577081113,2.0992399079225644e+07,2.1014893174996454e+07
[2 6 17],[e l i],2161,22746.353534999813,2.099101485343638e+07,2.101376120697138e+07
[2 6 20],[e l p],615,22082.36898615596,2.099035266982187e+07,2.1012435038808025e+07
[2 7 20],[e o p],935,22068.87887683941,2.0983197741836417e+07,2.1005266620713256e+07
[2 8 0],[e n t],18584,22548.312984421194,2.093564805525668e+07,2.09581963682411e+07
[2 8 2],[e n e],2749,22664.83038763826,2.0991926088070504e+07,2.101459091845814e+07
[2 8 3],[e n  ],14688,22968.609723645597,2.0990778353129465e+07,2.101374696285311e+07
[2 8 7],[e n o],751,22571.948044258173,2.0993099578597344e+07,2.1015671526641604e+07
[2 8 9],[e n c],4342,22399.342758164075,2.0980735725568455e+07,2.100313506832662e+07
[2 8 11],[e n g],1277,22309.41779805838,2.0991281070183605e+07,2.1013590487981662e+07
[2 8 13],[e n a],662,22574.919398998594,2.0994468599781524e+07,2.101704351918052e+07
[2 8 14],[e n d],3527,22577.75694929161,2.0996001645925265e+07,2.1018579402874555e+07
[2 8 16],[e n s],2433,22655.563147414043,2.099107012698281e+07,2.1013725690130226e+07
[2 8 17],[e n i],988,22588.919761547095,2.099406468867672e+07,2.1016653608438265e+07
[2 9 0],[e c t],6172,22220.051882612217,2.0965580966371313e+07,2.0987801018253926e+07
[2 9 1],[e c h],687,22329.826709868776,2.0991518630307607e+07,2.1013848457017478e+07
[2 9 2],[e c e],1612,22174.941813262383,2.0990742728665657e+07,2.101291767047892e+07
[2 9 7],[e c o],2353,22356.100344911305,2.0989583078751046e+07,2.1011939179095957e+07
[2 9 13],[e c a],1444,22262.087295424502,2.098561117392598e+07,2.1007873261221405e+07
[2 9 17],[e c i],1613,22159.386213056063,2.0985981956623852e+07,2.100814134283691e+07
[2 10 2],[e y e],687,22394.534111380282,2.099002771807256e+07,2.101242225218394e+07
[2 10 3],[e y  ],5025,22782.693273326495,2.098761225646912e+07,2.1010394949742448e+07
[2 11 12],[e g r],716,22103.64928933313,2.099157046616784e+07,2.1013674115457173e+07
[2 11 13],[e g a],1091,22268.705827247024,2.0989690855442572e+07,2.101195956126982e+07
[2 11 17],[e g i],923,22235.701490125488,2.099029572952819e+07,2.1012531431018315e+07
[2 12 0],[e r t],2210,22511.92318160997,2.099163775824998e+07,2.1014149681431588e+07
[2 12 2],[e r e],12815,22701.45731210602,2.098840005918583e+07,2.1011101516497936e+07
[2 12 3],[e r  ],28704,23060.67216461631,2.0971265157148253e+07,2.099432582931287e+07
[2 12 4],[e r f],740,22199.109599013125,2.0990002604954205e+07,2.101220171455322e+07
[2 12 7],[e r o],615,22675.874260571563,2.099555088811482e+07,2.1018226762375392e+07
[2 12 8],[e r n],2877,22492.714358179765,2.0983841310555674e+07,2.1006334024913855e+07
[2 12 9],[e r c],875,22251.643492811858,2.099161467650488e+07,2.101386631999769e+07
[2 12 10],[e r y],2426,22442.992202615467,2.0988320614322603e+07,2.101076360652522e+07
[2 12 11],[e r g],661,22363.513896517274,2.099275899281294e+07,2.1015122506709456e+07
[2 12 12],[e r r],842,22417.406968204235,2.099265046996472e+07,2.1015067876932923e+07
[2 12 13],[e r a],4325,22601.09593889978,2.0990014478953246e+07,2.1012615574892145e+07
[2 12 16],[e r s],8246,22691.670175360083,2.0984005362958807e+07,2.1006697033134166e+07
[2 12 17],[e r i],4535,22677.58217752298,2.0991579892386835e+07,2.101425747456436e+07
[2 12 18],[e r v],1763,22157.28080798409,2.0985900317239836e+07,2.100805759804782e+07
[2 12 19],[e r XXX],910,22752.4470781176,2.0990902758486267e+07,2.1013655205564383e+07
[2 12 21],[e r m],1633,22271.483675634652,2.0990798292089812e+07,2.101306977576545e+07
[2 13 0],[e a t],3757,22530.38312780245,2.0992136450140875e+07,2.1014666833268676e+07
[2 13 3],[e a  ],740,22603.480507889435,2.099427296792665e+07,2.101687644843454e+07
[2 13 6],[e a l],2039,22427.19195575154,2.099275386134381e+07,2.101518105329956e+07
[2 13 8],[e a n],1530,22375.314931132267,2.0993077573258467e+07,2.10154528881896e+07
[2 13 9],[e a c],2218,22197.704580582595,2.0985880352366716e+07,2.10080780569473e+07
[2 13 12],[e a r],6908,22603.707990164956,2.097186024864569e+07,2.0994463956635855e+07
[2 13 14],[e a d],3200,22334.317675780316,2.0987180160025578e+07,2.100951447770136e+07
[2 13 16],[e a s],3834,22422.537706938194,2.0988194705989383e+07,2.101061724369632e+07
[2 13 18],[e a v],699,22080.60782759115,2.099232564787512e+07,2.101440625570271e+07
[2 13 21],[e a m],600,22188.676882597472,2.099271097243209e+07,2.101489964931469e+07
[2 13 22],[e a k],785,22240.58751860387,2.099130476240024e+07,2.1013545349918842e+07
[2 14 2],[e d e],824,22352.235514004584,2.099379550415516e+07,2.1016147739669163e+07
[2 14 3],[e d  ],41455,23070.19283584394,2.095151868460965e+07,2.0974588877445497e+07
[2 14 5],[e d u],895,22191.345249355876,2.099092868357302e+07,2.1013120028822374e+07
[2 14 17],[e d i],1537,22512.882397638896,2.0993286980959322e+07,2.1015799863356963e+07
[2 16 0],[e s t],6676,22720.489376837933,2.0990497749845132e+07,2.101321823922197e+07
[2 16 2],[e s e],3401,22364.844150179426,2.09927932688461e+07,2.1015158112996276e+07
[2 16 3],[e s  ],22319,22980.320463409284,2.09835762232975e+07,2.1006556543760907e+07
[2 16 5],[e s u],710,22213.370654566304,2.0991680760526158e+07,2.1013894131180726e+07
[2 16 9],[e s c],801,22336.8988117764,2.099156325915085e+07,2.1013900157962628e+07
[2 16 16],[e s s],7236,22619.842929154154,2.0972790999189083e+07,2.0995410842118237e+07
[2 16 17],[e s i],1765,22446.011791911336,2.099054920301629e+07,2.10129952148082e+07
[2 16 20],[e s p],1329,22187.06903573307,2.0990523959499594e+07,2.1012711028535325e+07
[2 17 8],[e i n],1170,22514.778396434947,2.099017623201644e+07,2.1012691010412876e+07
[2 17 11],[e i g],962,22247.87481374326,2.0988051505302932e+07,2.1010299380116675e+07
[2 17 12],[e i r],2721,22048.38680536556,2.0973951974497426e+07,2.0996000361302793e+07
[2 18 2],[e v e],7673,22425.967819637455,2.0971538536298502e+07,2.099396450411814e+07
[2 18 17],[e v i],1205,22349.473630813816,2.099266059976776e+07,2.101501007339857e+07
[2 19 16],[e XXX s],1056,22559.722406741024,2.0991400856013417e+07,2.101396057842016e+07
[2 20 0],[e p t],1391,22227.137862819778,2.0985539905975666e+07,2.1007767043838486e+07
[2 20 2],[e p e],646,22109.377047864855,2.0991922832379397e+07,2.1014032209427264e+07
[2 20 3],[e p  ],741,22461.21106231579,2.0990689475501e+07,2.1013150686563317e+07
[2 20 13],[e p a],872,22210.714658551944,2.0990426629407838e+07,2.101263734406639e+07
[2 21 2],[e m e],3121,22419.640070837097,2.0988846925116684e+07,2.101126656518752e+07
[2 21 3],[e m  ],3040,22855.442734376556,2.0989927227171283e+07,2.101278266990566e+07
[2 21 7],[e m o],1060,22340.509703559594,2.0991737298392016e+07,2.1014077808095574e+07
[2 21 13],[e m a],1190,22401.20783106429,2.0993518147115465e+07,2.101591935494653e+07
[2 21 16],[e m s],1116,22072.49185380548,2.0989930166023985e+07,2.101200265787779e+07
[2 21 17],[e m i],743,22459.950659178878,2.0993986666707136e+07,2.1016446617366314e+07
[2 21 20],[e m p],1332,22281.238099774117,2.0988753076885954e+07,2.1011034314985726e+07
[2 21 27],[e m b],1386,22196.58450790669,2.0988225126689337e+07,2.1010421711197242e+07
[2 24 0],[e x t],1329,22194.13048059205,2.098816327907341e+07,2.1010357409554e+07
[2 24 9],[e x c],891,22077.58855196716,2.098797431574371e+07,2.101005190429568e+07
[2 24 13],[e x a],834,22202.169400812156,2.0988240252659578e+07,2.101044242206039e+07
[2 24 20],[e x p],2391,22145.038899420706,2.0979773499143515e+07,2.1001918538042936e+07
[2 26 3],[e w  ],3326,22705.263162474825,2.0975026536219418e+07,2.0997731799381893e+07
[2 29 5],[e q u],1651,22099.75437795292,2.0984526099428505e+07,2.100662585380646e+07
[3 0 1],[  t h],98749,22587.173609452988,2.0819304420063637e+07,2.084189159367309e+07
[3 0 2],[  t e],3797,22772.98471446542,2.1001056284891576e+07,2.1023829269606043e+07
[3 0 5],[  t u],1131,22722.158889024195,2.099486593624179e+07,2.1017588095130816e+07
[3 0 7],[  t o],30626,22941.802217041157,2.089014943372293e+07,2.091309123593997e+07
[3 0 12],[  t r],4916,22618.170223476758,2.0991463063477017e+07,2.1014081233700495e+07
[3 0 13],[  t a],3257,22864.920039338547,2.099228538306543e+07,2.1015150303104766e+07
[3 0 17],[  t i],2826,22906.142578091007,2.0995822380869936e+07,2.1018728523448028e+07
[3 0 26],[  t w],1853,22371.29345787273,2.098914563360951e+07,2.1011516927067384e+07
[3 1 2],[  h e],14390,22955.819441637854,2.1008669902525637e+07,2.1031625721967276e+07
[3 1 5],[  h u],1583,22892.413902254753,2.0990508733390607e+07,2.101340114729286e+07
[3 1 7],[  h o],5558,22953.706724352785,2.0990753218388088e+07,2.101370692511244e+07
[3 1 13],[  h a],16165,22958.11375522618,2.0955707420810968e+07,2.0978665534566194e+07
[3 1 17],[  h i],11860,22762.198727770272,2.096537002928747e+07,2.098813222801524e+07
